"ArtistId","Name","TotalTracks","TotalValue"
1,AC/DC,18,17.82
2,Accept,4,3.96
3,Aerosmith,15,14.85
4,Alanis Morissette,13,12.87
5,Alice In Chains,12,11.88
6,Antônio Carlos Jobim,31,30.69
7,Apocalyptica,8,7.92
8,Audioslave,40,39.6
9,BackBeat,12,11.88
10,Billy Cobham,8,7.92
11,Black Label Society,18,17.82
12,Black Sabbath,17,16.83
13,Body Count,17,16.83
14,Bruce Dickinson,11,10.89
15,Buddy Guy,11,10.89
16,Caetano Veloso,21,20.79
17,Chico Buarque,34,33.66
18,Chico Science & Nação Zumbi,36,35.64
19,Cidade Negra,31,30.69
20,Cláudio Zoli,10,9.9
21,Various Artists,56,55.44
22,Led Zeppelin,114,112.86
23,Frank Zappa & Captain Beefheart,9,8.91
24,Marcos Valle,17,16.83
27,Gilberto Gil,32,31.68
36,O Rappa,17,16.83
37,Ed Motta,14,13.86
41,Elis Regina,14,13.86
42,Milton Nascimento,26,25.74
46,Jorge Ben,14,13.86
50,Metallica,112,110.88
51,Queen,45,44.55
52,Kiss,35,34.65
53,Spyro Gyra,21,20.79
54,Green Day,34,33.66
55,David Coverdale,12,11.88
56,Gonzaguinha,14,13.86
57,Os Mutantes,14,13.86
58,Deep Purple,92,91.08
59,Santana,27,26.73
68,Miles Davis,37,36.63
69,Gene Krupa,22,21.78
70,Toquinho & Vinícius,15,14.85
72,Vinícius De Moraes,15,14.85
76,Creedence Clearwater Revival,40,39.6
77,Cássia Eller,30,29.7
78,Def Leppard,16,15.84
79,Dennis Chambers,9,8.91
80,Djavan,26,25.74
81,Eric Clapton,48,47.52
82,Faith No More,52,51.48
83,Falamansa,14,13.86
84,Foo Fighters,44,43.56
85,Frank Sinatra,24,23.76
86,Funk Como Le Gusta,16,15.84
87,Godsmack,12,11.88
88,Guns N' Roses,42,41.58
89,Incognito,13,12.87
90,Iron Maiden,213,210.87
91,James Brown,20,19.8
92,Jamiroquai,32,31.68
93,JET,13,12.87
94,Jimi Hendrix,17,16.83
95,Joe Satriani,10,9.9
96,Jota Quest,12,11.88
97,João Suplicy,14,13.86
98,Judas Priest,16,15.84
99,Legião Urbana,31,30.69
100,Lenny Kravitz,57,56.43
101,Lulu Santos,28,27.72
102,Marillion,10,9.9
103,Marisa Monte,18,342.0
104,Marvin Gaye,18,17.82
105,Men At Work,10,9.9
106,Motörhead,15,14.85
108,Mônica Marianno,12,11.88
109,Mötley Crüe,17,16.83
110,Nirvana,29,28.71
111,O Terço,15,14.85
112,Olodum,14,13.86
113,Os Paralamas Do Sucesso,49,48.51
114,Ozzy Osbourne,32,31.68
115,Page & Plant,12,11.88
116,Passengers,14,13.86
117,Paul D'Ianno,10,9.9
118,Pearl Jam,67,66.33
120,Pink Floyd,9,8.91
121,Planet Hemp,16,15.84
122,R.E.M. Feat. Kate Pearson,11,10.89
124,R.E.M.,41,40.59
125,Raimundos,10,9.9
126,Raul Seixas,14,13.86
127,Red Hot Chili Peppers,48,47.52
128,Rush,14,13.86
130,Skank,23,22.77
131,Smashing Pumpkins,34,33.66
